CB Status,R,V,I,P,Q,VPU,IPU,PPU,QPU,Voltage PU,Current PU,Power PU,Reactive PU
TIE 10 TIE 21,1,14841.11965,15.35818998,766485.0422,-184459.3303,1.484111965,0.767909499,7.664850422,-1.844593303,10000,20,100000,100000
TIE 10 TIE 21,1,14658.32235,16.57270916,860046.8646,-112252.9282,1.465832235,0.828635458,8.600468646,-1.122529282,10000,20,100000,100000
TIE 10 TIE 21,1,14696.70541,16.7777928,860509.2846,-142612.3545,1.469670541,0.83888964,8.605092846,-1.426123545,10000,20,100000,100000
TIE 10 TIE 21,1,14701.84223,16.15005294,831583.7466,-129582.8683,1.470184223,0.807502647,8.315837466,-1.295828683,10000,20,100000,100000
TIE 10 TIE 21,1,14873.46338,15.80666219,783364.1251,-193025.8558,1.487346338,0.790333109,7.833641251,-1.930258558,10000,20,100000,100000
TIE 10 TIE 21,1,14718.70493,16.66226691,840652.7675,-156568.2541,1.471870493,0.833113345,8.406527675,-1.565682541,10000,20,100000,100000
TIE 10 TIE 21,1,14730.79228,15.77020646,804552.0114,-140262.059,1.473079228,0.788510323,8.045520114,-1.40262059,10000,20,100000,100000
TIE 10 TIE 21,1,14714.46944,16.33949304,846551.2132,-127356.0939,1.471446944,0.816974652,8.465512132,-1.273560939,10000,20,100000,100000
TIE 10 TIE 21,1,14610.23071,16.26286147,845829.8592,-124564.0209,1.461023071,0.813143074,8.458298592,-1.245640209,10000,20,100000,100000
TIE 10 TIE 21,1,14726.99332,16.03823011,819409.2186,-136377.5811,1.472699332,0.801911505,8.194092186,-1.363775811,10000,20,100000,100000
TIE 10 TIE 21,1,14677.94163,16.2333791,834074.4071,-123867.4087,1.467794163,0.811668955,8.340744071,-1.238674087,10000,20,100000,100000
TIE 10 TIE 21,1,14811.99143,15.53467108,790515.8453,-138498.3858,1.481199143,0.776733554,7.905158453,-1.384983858,10000,20,100000,100000
TIE 10 TIE 21,1,14676.46072,15.47909173,793475.6465,-145597.6577,1.467646072,0.773954586,7.934756465,-1.455976577,10000,20,100000,100000
TIE 10 TIE 21,1,14536.89036,16.96943562,904102.9285,-40572.81275,1.453689036,0.848471781,9.041029285,-0.405728128,10000,20,100000,100000
TIE 10 TIE 21,1,14629.02185,16.07404596,843619.4711,-106663.6488,1.462902185,0.803702298,8.436194711,-1.066636488,10000,20,100000,100000
TIE 10 TIE 21,1,14757.31193,15.97864836,816751.0477,-145447.7724,1.475731193,0.798932418,8.167510477,-1.454477724,10000,20,100000,100000
TIE 10 TIE 21,1,14758.38426,16.07033356,807232.9435,-167219.0341,1.475838426,0.803516678,8.072329435,-1.672190341,10000,20,100000,100000
TIE 10 TIE 21,1,14562.34384,16.55774157,860341.7258,-95765.94262,1.456234384,0.827887078,8.603417258,-0.957659426,10000,20,100000,100000
TIE 10 TIE 21,1,14471.51603,17.53868519,918961.7195,-51426.05284,1.447151603,0.87693426,9.189617195,-0.514260528,10000,20,100000,100000
TIE 10 TIE 21,1,14660.97206,17.13370975,878596.7257,-92969.13976,1.466097206,0.856685487,8.785967257,-0.929691398,10000,20,100000,100000
TIE 10 TIE 21,1,14678.58819,16.37672574,836381.0052,-124601.5677,1.467858819,0.818836287,8.363810052,-1.246015677,10000,20,100000,100000
TIE 10 TIE 21,1,14655.07843,16.1353572,817308.5092,-161929.0577,1.465507843,0.80676786,8.173085092,-1.619290577,10000,20,100000,100000
TIE 10 TIE 21,1,14596.83982,17.57393762,896120.3629,-89724.44512,1.459683982,0.878696881,8.961203629,-0.897244451,10000,20,100000,100000
TIE 10 TIE 21,1,14539.30392,17.84076835,926576.0662,-79546.02695,1.453930392,0.892038417,9.265760662,-0.79546027,10000,20,100000,100000
TIE 10 TIE 21,1,14558.51275,17.6169593,912960.1069,-91309.7964,1.455851275,0.880847965,9.129601069,-0.913097964,10000,20,100000,100000
